ticker;name;country;industry;sector;dividend_rate;dividend_yield;EV/revenue;EV/ebitda;negative_EV/revenue;negative_EV/ebitda;ebitda;ebitda_mean;ebitda_std;negative_ebitda;ebit;ebit_mean;ebit_std;negative_ebit;net_income;net_income_mean;net_income_std;negative_net_income;operating_income;operating_income_mean;operating_income_std;negative_operating_income;gross_profit;gross_profit_mean;gross_profit_std;total_revenue;total_revenue_mean;total_revenue_std;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;assets_net_worth;assets_net_worth_mean;assets_net_worth_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;debit_composition;debit_composition_mean;debit_composition_std;net_debt;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std
['ALOS3'];['Allos S.A.'];Brazil;Real Estate Services;Real Estate;0.89;4.23;6.53;9.532;0;0.0;2213497000.0;2.2377;3.5996;0.0;1594666000.0;2.8054;4.4507;0.0;698511000.0;6.5007;10.0618;0;1252748000.0;0.4529;0.3404;0.0;2020867000.0;0.561;0.5651;2739848000.0;0.5453;0.6371;0.7376;0.0289;0.046;0.8079;0.5463;1.3334;0.582;0.7657;1.6916;0.2549;2.1946;4.0365;0.0256;2.4563;4.3783;0.0341;2.3066;4.128;1.3335;0.0294;0.0581;0.3247;0.1721;0.2913;0.1691;-0.0083;0.4071;6776676000.0;3.0615;0.6632;1.2815;4.1067;-0.0711;0.205;3.8026;0.0461;0.2931;;;
['ALPA4'];['Alpargatas S.A.'];Brazil;Footwear & Accessories;Consumer Cyclical;0.11;1.44;1.247;34.412;0;0.0;491535000.0;-2.0717;1.7443;1.0;241720000.0;-2.8648;2.8687;1.0;107979000.0;-6.0832;7.273;1;65962000.0;-1.0872;0.5533;1.0;1772696000.0;-0.0179;0.1668;4108311000.0;0.0174;0.0896;0.4315;-0.0412;0.0871;0.1196;-2.2122;1.9319;0.0588;-3.104;3.1959;0.0263;-6.7081;8.1533;0.0158;-7.8388;9.7518;0.0207;-8.7203;11.0186;1.3087;0.0842;0.0863;0.2724;4.0772;5.3385;0.1766;-0.1029;0.8261;124773000.0;0.2538;-2.8473;2.0144;4.8048;-0.3804;0.4233;13.761;-0.0848;0.5586;10.94;-0.0205;0.6202
['ABEV3'];['Ambev S.A.'];Brazil;Beverages - Brewers;Consumer Defensive;0.8;5.64;2.193;7.342;0;0.0;29011900000.0;0.1154;0.0599;0.0;21885500000.0;0.1221;0.0769;0.0;14437200000.0;0.0465;0.0669;0;21506800000.0;0.0789;0.0544;0.0;45837600000.0;0.073;0.044;89452700000.0;0.0721;0.0519;0.5124;0.0016;0.0266;0.3243;0.0405;0.0258;0.2447;0.0462;0.0365;0.1614;-0.0223;0.066;0.0888;0.0006;0.1397;0.0908;0.001;0.1435;1.0217;-0.0005;0.0045;0.0031;0.0053;0.3502;0.3355;-0.0774;0.2009;-25143000000.0;-0.8666;0.1665;0.3841;333.282;0.1085;0.3095;331.0269;0.307;0.3875;259.5733;0.3764;0.5048
['ASAI3'];['Sendas Distribuidora S.A.'];Brazil;Grocery Stores;Consumer Defensive;0.11;1.16;0.446;6.786;0;0.0;5579000000.0;0.1843;0.0582;0.0;3939000000.0;0.1401;0.0909;0.0;769000000.0;-0.1924;0.2076;0;3801000000.0;0.1378;0.0394;0.0;12221000000.0;0.197;0.0515;73819000000.0;0.2104;0.0784;0.1656;-0.0094;0.0219;0.0756;-0.0156;0.0983;0.0534;-0.0492;0.1367;0.0104;-0.3223;0.2125;0.0169;-0.3322;0.2612;0.0397;-0.308;0.2673;2.3521;0.0365;0.057;0.8546;0.0593;0.1644;0.1258;0.2022;0.214;20581000000.0;3.689;0.1145;0.2282;2.7524;-0.0056;0.1047;7.8925;-0.1525;0.2198;4.4726;-0.1139;0.2359
['AZUL4'];['Azul S.A.'];Brazil;Airlines;Industrials;;;1.892;10.384;0;0.0;4618956000.0;1.5771;3.1659;1.0;2214733000.0;-2.336;2.4043;1.0;-2380456000.0;0.2853;1.4241;1;1415458000.0;0.495;2.0318;1.0;5086250000.0;-0.8418;2.1528;18554425000.0;0.4996;0.2443;0.2741;-0.7278;1.3715;0.2489;0.6785;1.9454;0.1194;-1.7878;1.5443;-0.1283;0.0545;1.2579;-0.1159;0.1679;1.299;0.4101;0.146;1.2972;-3.5372;-0.0097;0.1937;-1.9279;0.0295;0.1137;0.1266;0.1565;0.578;24440444000.0;5.2913;-4.3475;5.7609;1.8347;-0.0466;0.0911;3.5605;-0.0889;0.3761;2.9963;-0.1106;0.3797
['B3SA3'];['B3 S.A. - Brasil, Bolsa, Balcão'];Brazil;Financial Data & Stock Exchanges;Financial Services;0.25;1.88;7.47;11.264;0;0.0;8013634000.0;-0.0062;0.0212;0.0;7441885000.0;0.0166;0.0549;0.0;4576581000.0;-0.0063;0.0872;0;6044745000.0;-0.0045;0.1271;0.0;6990714000.0;-0.0201;0.0393;9429069000.0;0.0138;0.0321;0.7414;-0.0335;0.0177;0.8499;-0.0192;0.0203;0.7892;0.0021;0.0232;0.4854;-0.0208;0.0639;0.1012;0.0465;0.1133;0.1457;0.0594;0.111;1.4404;0.0132;0.0238;0.4404;0.0486;0.0884;0.1842;0.4925;1.4554;12191955000.0;1.5214;0.0299;0.2097;3.2708;-0.0289;0.058;5.9572;0.4244;0.8913;;;
['BBSE3'];['BB Seguridade Participações S.A.'];Brazil;Insurance - Diversified;Financial Services;4.64;11.04;7.182;7.476;0;0.0;;;;;10412849000.0;0.2818;0.1746;0.0;8703353000.0;0.3177;0.1977;0;;;;;;;;5539505000.0;0.1541;0.0875;;;;;;;1.8797;0.1064;0.0764;1.5711;0.1366;0.0981;;;;;;;;;;;;;;;;;;;;;;;;;;;;
['BBDC3'];['Banco Bradesco S.A.'];Brazil;Banks - Regional;Financial Services;0.21;1.73;7.509;;0;;;;;;;;;;17252900000.0;-0.0673;0.2204;0;;;;;;;;106219330000.0;0.0135;0.0502;;;;;;;;;;0.1624;-0.0876;0.1773;0.0083;-0.1321;0.2021;0.0104;-0.1084;0.2144;1.2444;0.0223;0.0315;;;;;;;238122793000.0;;;;;;;;;;;;
['BBDC4'];['Banco Bradesco S.A.'];Brazil;Banks - Regional;Financial Services;0.23;1.7;7.699;;0;;;;;;;;;;17252900000.0;-0.0673;0.2204;0;;;;;;;;106219330000.0;0.0135;0.0502;;;;;;;;;;0.1624;-0.0876;0.1773;0.0083;-0.1321;0.2021;0.0104;-0.1084;0.2144;1.2444;0.0223;0.0315;;;;;;;238122793000.0;;;;;;;;;;;;
['BRAP4'];['Bradespar S.A.'];Brazil;Asset Management;Financial Services;2.4;13.62;418.079;;0;;;;;;;;;;1192208000.0;-0.4671;0.0704;0;;;;;;;;1261317000.0;-0.4579;0.0747;;;;;;;;;;0.9452;-0.016;0.0072;0.1385;-0.4906;0.0592;0.1386;-0.4904;0.0593;1.0003;0.0001;0.0001;;;;;;;-285502000.0;;;;;;;;;;;;
