ticker,country,industry,sector,dividend_rate,dividend_yield,EV/revenue,EV/ebitda,negative_EV/revenue,negative_EV/ebitda,ebitda_mean,ebitda_std,negative_ebitda,ebit_mean,ebit_std,negative_ebit,net_income_mean,net_income_std,negative_net_income,operating_income_mean,operating_income_std,negative_operating_income,gross_profit_mean,gross_profit_std,total_revenue_mean,total_revenue_std,gross_margin_last,gross_margin_mean,gross_margin_std,ebitda_margin_last,ebitda_margin_mean,ebitda_margin_std,ebit_margin_last,ebit_margin_mean,ebit_margin_std,net_margin_last,net_margin_mean,net_margin_std,roa,roa_mean,roa_std,roe,roe_mean,roe_std,assets_net_worth,assets_net_worth_mean,assets_net_worth_std,participation_of_third_party_capital,participation_of_third_party_capital_mean,participation_of_third_party_capital_std,debit_composition,debit_composition_mean,debit_composition_std,net_debt_ebitda,net_debt_ebitda_mean,net_debt_ebitda_std,general_liquidity,general_liquidity_mean,general_liquidity_std,current_liquidity,current_liquidity_mean,current_liquidity_std,dry_liquidity,dry_liquidity_mean,dry_liquidity_std
MMM,United States,Conglomerates,Industrials,2.8,0.0207,2.384,10.58,0,0,-0.6113,0.827,0,-0.7782,1.0611,0,-0.7162,1.0578,0,-1.1364,1.3955,0,-0.0281,0.0666,0.0072,0.0648,0.4346,-0.035,0.0232,-0.2068,-0.6448,0.8276,-0.2676,-0.8202,1.0724,-0.214,-0.7569,1.0684,-0.1383,-0.6766,1.0157,-0.2074,-0.6907,0.9708,1.4997,-0.0439,0.0021,0.4754,-0.113,0.0038,0.1838,0.6272,0.0999,-1.6158,-0.7089,0.9606,3.1543,0.0779,0.0032,5.5579,-0.3299,0.0448,3.9216,-0.3277,0.1015
AOS,United States,Specialty Industrial Machinery,Industrials,1.36,0.0173,2.906,13.774,0,0,0.476,0.9117,0,0.6548,1.169,0,0.4192,0.7665,0,0.1971,0.1191,0,0.1046,0.0694,0.1031,0.0854,0.3854,0.004,0.0596,0.2138,0.3638,0.909,0.1935,0.5358,1.1633,0.1445,0.3042,0.7604,0.1732,0.4131,0.7994,0.182,0.3758,0.7193,1.0507,0.0017,0.0494,0.0416,0.2961,0.6759,0.0786,0.3747,0.9504,-0.2242,0.1676,1.198,25.2467,0.2634,0.9528,150.03,-0.1215,0.1856,100.29,-0.1767,0.1746
ABT,United States,Medical Devices,Healthcare,2.2,0.0184,5.231,20.261,0,0,0.082,0.2225,0,0.1411,0.3239,0,0.1264,0.3222,0,0.1133,0.3368,0,0.0512,0.147,0.059,0.1369,0.5518,-0.0087,0.0102,0.2629,0.0122,0.0743,0.182,0.057,0.1595,0.1427,0.0432,0.1586,0.0782,0.1155,0.2898,0.0994,0.0883,0.2844,1.2714,-0.0249,0.0048,0.2549,-0.1037,0.0249,0.0736,1.4438,1.3484,0.8281,-0.113,0.3128,4.9877,0.0886,0.0254,20.9907,-0.1441,0.7193,14.9074,-0.1811,0.6665
ABBV,United States,Drug Manufacturers - General,Healthcare,6.2,0.0328,7.117,14.985,0,0,0.2208,0.5245,0,0.3974,0.8958,0,0.3123,0.8768,0,0.0675,0.3217,0,0.0523,0.1796,0.0652,0.1211,0.6242,-0.0183,0.0644,0.3161,0.1067,0.3486,0.156,0.2363,0.6644,0.0895,0.1564,0.6629,0.0361,0.3575,0.8965,0.0646,0.223,0.7982,1.7884,-0.084,0.0415,0.7884,-0.1576,0.0741,0.1211,0.3007,0.6412,2.712,-0.1812,0.314,2.2684,0.0914,0.0466,4.5893,0.5107,1.11,4.0193,0.5027,1.0823
ACN,Ireland,Information Technology Services,Technology,5.92,0.015700001,3.628,21.279,0,0,0.0489,0.0345,0,0.0793,0.0777,0,0.0736,0.0684,0,0.0862,0.1178,0,0.0923,0.0799,0.0907,0.0914,0.3261,0.0024,0.0102,0.1724,-0.0336,0.0623,0.1504,-0.0087,0.0416,0.1119,-0.0137,0.0407,0.1299,-0.0154,0.0591,0.1402,-0.0183,0.0563,1.0795,-0.0027,0.0112,0.0198,2.1788,2.363,0.9233,1.1534,1.4937,-0.079,-0.2231,0.476,54.5758,-0.3786,0.4924,22.0431,-0.4532,0.6364,,,
ADBE,United States,Software - Infrastructure,Technology,,,10.332,26.607,0,0,0.1601,0.1077,0,0.1789,0.1288,0,0.0148,0.0939,0,0.1703,0.1417,0,0.1542,0.067,0.1482,0.0558,0.8787,0.0048,0.0098,0.4011,0.0085,0.049,0.3561,0.0242,0.0662,0.2797,-0.111,0.1177,0.1823,-0.0508,0.0957,0.2112,-0.0721,0.0939,1.1588,-0.0223,0.0157,,,,,,,-0.3932,-2.2349,4.1214,,,,,,,,,
AMD,United States,Semiconductors,Technology,,,10.712,61.626,0,0,0.5213,0.7217,0,0.2049,1.1299,0,-0.2219,0.3601,0,0.1095,1.0998,0,0.3826,0.3434,0.3601,0.2997,0.4612,0.0137,0.0628,0.1829,0.0605,0.3,0.0264,-0.2023,0.6211,0.0377,-0.4269,0.2025,0.0126,-0.4536,0.3501,0.0132,-0.4555,0.3484,1.0463,-0.0053,0.0055,,,,,,,-0.2242,-0.29,0.0665,,,,,,,,,
AES,United States,Utilities - Diversified,Utilities,0.69,0.0395,3.583,12.712,0,0,0.2796,0.7625,0,-2.5984,3.3161,0,-3.6708,4.4589,0,-0.0393,0.0357,0,-0.0236,0.0276,0.0966,0.066,0.1977,-0.1061,0.0628,0.2014,0.1758,0.6783,0.1123,-2.3577,2.9868,0.0197,-3.307,3.8336,0.0056,-3.9292,4.7155,0.0139,-3.786,4.6262,2.4998,0.0229,0.0667,1.4998,0.0418,0.1164,0.1537,0.3649,0.4878,9.9773,0.393,0.9446,1.6668,-0.0134,0.0429,1.6091,-0.1618,0.3324,1.4368,-0.1783,0.3114
AFL,United States,Insurance - Life,Financial Services,2.0,0.0175,3.474,10.319,0,0,,,,0.0813,0.1235,0,-0.0053,0.0774,0,,,,,,-0.0532,0.0415,,,,,,,0.2897,0.14,0.0992,0.2473,0.0539,0.1067,0.0368,0.0916,0.1285,0.039,0.0946,0.1321,1.0617,0.0036,0.002,,,,,,,,,,,,,,,,,,
A,United States,Diagnostics & Research,Healthcare,0.94,0.0068,6.345,26.36,0,0,0.137,0.2239,0,0.1904,0.2779,0,0.236,0.3166,0,0.2093,0.3094,0,0.0748,0.1109,0.0884,0.0759,0.5071,-0.0148,0.037,0.2495,0.0356,0.1315,0.2099,0.0818,0.1768,0.1815,0.123,0.2117,0.1152,0.178,0.2393,0.1545,0.1851,0.2506,1.3407,0.0041,0.0113,,,,,,,0.6716,-0.0115,0.2182,,,,,,,,,
APD,United States,Specialty Chemicals,Basic Materials,7.08,0.021300001,7.246,20.881,0,0,0.0592,0.0091,0,0.0651,0.0175,0,0.069,0.0382,0,0.0709,0.05,0,0.0795,0.0311,0.1293,0.1005,0.299,-0.0338,0.1164,0.3507,-0.0548,0.0805,0.2428,-0.0495,0.0844,0.1826,-0.0479,0.0627,0.0719,-0.0099,0.0879,0.1097,-0.0048,0.0597,1.526,0.008,0.0387,0.4914,0.025,0.1409,0.0849,0.1212,0.0463,2.1309,0.3858,0.1863,3.1053,-0.0035,0.0953,5.9468,-0.2905,0.1749,5.2015,-0.3077,0.1822
ABNB,United States,Travel Services,Consumer Cyclical,,,7.36,47.231,0,0,1.8628,3.3721,0,4.2139,6.6434,0,-1.9232,3.3054,0,0.378,1.5433,0,0.5166,0.3096,0.452,0.2447,0.8283,0.0386,0.0363,0.2248,1.0913,2.3761,0.2203,2.7745,4.7158,0.4832,-1.551,2.4787,0.2321,-1.8552,2.7543,0.2613,-1.8278,2.6547,1.1256,-0.0433,0.0087,,,,,,,-2.0502,-6.788,8.921,,,,,,,,,
AKAM,United States,Software - Infrastructure,Technology,,,4.874,17.056,0,0,0.0262,0.0976,0,0.0019,0.1357,0,0.0064,0.1521,0,0.0069,0.1107,0,0.0368,0.0181,0.0604,0.0159,0.6036,-0.0223,0.0025,0.3256,-0.0333,0.077,0.1758,-0.0567,0.1144,0.1437,-0.0526,0.1312,0.0553,-0.0729,0.1392,0.1021,-0.0226,0.1143,1.8456,0.0602,0.0616,,,,,,,3.2607,0.2006,0.3015,,,,,,,,,
ALB,United States,Specialty Chemicals,Basic Materials,1.62,0.017,2.079,-18.44,0,1,1.4339,2.7822,0,3.5607,6.0418,0,6.5546,10.0379,0,0.9996,2.1077,0,0.4899,1.1529,0.5257,0.4874,0.1233,-0.1209,0.4542,0.0824,0.2421,1.1796,0.0377,1.1592,2.6897,0.1636,2.5446,4.4794,0.0861,4.4023,7.0686,0.1125,4.3161,6.9742,1.306,-0.0511,0.0791,0.2978,-0.1348,0.245,0.1502,70.7662,100.9789,4.2769,1.6437,2.9107,4.3849,0.1759,0.2818,8.3369,158.5258,224.2837,4.8831,158.5576,224.4495
ARE,United States,REIT - Office,Real Estate,5.2,0.0427,12.619,20.683,0,0,-0.0448,0.1113,0,-0.2593,0.2064,0,-0.3824,0.3045,0,0.123,0.0962,0,0.1445,0.0483,0.1535,0.0504,0.7023,-0.0077,0.0108,0.502,-0.1741,0.0662,0.1231,-0.3626,0.1589,0.0359,-0.4718,0.2499,0.0028,-0.4908,0.2424,0.0041,-0.5031,0.2345,1.4666,-0.0134,0.0366,,,,,,,7.6486,0.2201,0.1593,,,,,,,,,
ALGN,United States,Medical Instruments & Supplies,Healthcare,,,3.997,19.138,0,0,0.3336,0.6651,0,0.3986,0.8059,0,-0.2887,0.3677,0,0.3986,0.8059,0,0.1966,0.3353,0.1927,0.2896,0.7008,-0.0052,0.0374,0.2069,0.0543,0.2694,0.17,0.0857,0.3637,0.1152,-0.3475,0.3909,0.0732,-0.3249,0.3768,0.0747,-0.3249,0.3761,1.0213,0.001,0.0017,,,,,,,-1.0147,-0.1238,0.2821,,,,,,,,,
