ticker;name;country;industry;sector;dividend_rate;dividend_yield;EV/revenue;EV/ebitda;negative_EV/revenue;negative_EV/ebitda;ebitda;ebitda_mean;ebitda_std;negative_ebitda;ebit;ebit_mean;ebit_std;negative_ebit;net_income;net_income_mean;net_income_std;negative_net_income;operating_income;operating_income_mean;operating_income_std;negative_operating_income;gross_profit;gross_profit_mean;gross_profit_std;total_revenue;total_revenue_mean;total_revenue_std;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;assets_net_worth;assets_net_worth_mean;assets_net_worth_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;debit_composition;debit_composition_mean;debit_composition_std;net_debt;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std
['AOS'];['A. O. Smith Corporation'];United States;Specialty Industrial Machinery;Industrials;1.36;2.08;2.45;12.029;0.0;0.0;786500000.0;0.35;0.9482;0.0;707700000.0;0.5059;1.2198;0.0;533600000.0;0.268;0.7971;0.0;716800000.0;0.059;0.0844;0.0;1456100000.0;0.0372;0.0578;3818100000.0;0.026;0.0285;0.3814;0.0113;0.056;0.206;0.3216;0.9235;0.1854;0.4743;1.1871;0.1398;0.2416;0.7776;0.1647;0.3017;0.8321;0.1765;0.2635;0.7471;1.0717;0.0026;0.0496;0.0639;0.2726;0.6658;0.0518;0.4025;0.9276;-22900000.0;-0.0291;0.079;1.2601;16.7702;0.274;0.9459;139.29;-0.1731;0.1365;86.08;-0.2206;0.1403
['ACN'];['Accenture plc'];Ireland;Information Technology Services;Technology;5.92;2.03;2.721;15.945;0.0;0.0;11188334000.0;0.0489;0.0345;0.0;9758292000.0;0.0793;0.0777;0.0;7264787000.0;0.0736;0.0684;0.0;9595847000.0;0.0862;0.1178;0.0;21162317000.0;0.0923;0.0799;64896464000.0;0.0907;0.0914;0.3261;0.0024;0.0102;0.1724;-0.0336;0.0623;0.1504;-0.0087;0.0416;0.1119;-0.0137;0.0407;0.1299;-0.0154;0.0591;0.1402;-0.0183;0.0563;1.0795;-0.0027;0.0112;0.0198;2.1788;2.363;0.9233;1.1534;1.4937;-883920000.0;-0.079;-0.2231;0.476;54.5758;-0.3786;0.4924;22.0431;-0.4532;0.6364;;;
['ADBE'];['Adobe Inc.'];United States;Software - Application;Technology;;;6.94;17.651;0.0;0.0;7957000000.0;0.0647;0.0387;0.0;7100000000.0;0.0695;0.0435;0.0;5560000000.0;0.0506;0.066;0.0;7741000000.0;0.1019;0.0469;0.0;19147000000.0;0.1122;0.0077;21505000000.0;0.1086;0.0053;0.8904;0.0033;0.0077;0.37;-0.0395;0.038;0.3302;-0.0351;0.0426;0.2585;-0.0521;0.064;0.1839;0.0131;0.0214;0.23;0.0258;0.045;1.2505;0.013;0.0492;;;;;;;-1557000000.0;-0.1957;-2.9864;3.4818;;;;;;;;;
['A'];['Agilent Technologies, Inc.'];United States;Diagnostics & Research;Healthcare;0.99;0.93;4.988;18.083;0.0;0.0;1874000000.0;0.0251;0.0923;0.0;1617000000.0;0.0442;0.1004;0.0;1289000000.0;0.0216;0.0232;0.0;1488000000.0;0.0459;0.1549;0.0;3535000000.0;0.0146;0.0661;6510000000.0;0.0114;0.0543;0.543;0.0039;0.0563;0.2879;0.0162;0.1058;0.2484;0.0352;0.1143;0.198;0.0128;0.0571;0.1088;-0.0114;0.0472;0.1524;0.0026;0.0455;1.4009;0.0146;0.0233;;;;;;;2061000000.0;1.0998;0.2193;0.3663;;;;;;;;;
['APD'];['Air Products and Chemicals, Inc.'];United States;Specialty Chemicals;Basic Materials;7.16;2.66;6.237;17.335;0.0;0.0;6491100000.0;0.193;0.1954;0.0;5040000000.0;0.2656;0.27;0.0;3828200000.0;0.2529;0.2918;0.0;2947500000.0;0.0917;0.0313;0.0;3931900000.0;0.0787;0.032;12100600000.0;0.0609;0.1203;0.3249;0.0291;0.1134;0.5364;0.1496;0.2797;0.4165;0.2232;0.3561;0.3164;0.2115;0.3739;0.0967;0.0909;0.1965;0.1558;0.1332;0.2114;1.6108;0.0382;0.0268;0.5791;0.1267;0.0984;0.0488;-0.0393;0.2729;12026400000.0;1.8528;0.2933;0.3098;2.7815;-0.0733;0.0606;9.1567;-0.0926;0.45;8.0544;-0.1044;0.4647
['ARE'];['Alexandria Real Estate Equities, Inc.'];United States;REIT - Office;Real Estate;5.28;6.83;9.631;15.347;0.0;0.0;1898951000.0;0.0744;0.2009;0.0;696571000.0;0.1286;0.6225;0.0;322949000.0;0.4093;1.2416;0.0;836390000.0;0.1735;0.0283;0.0;2207129000.0;0.1409;0.0517;3116394000.0;0.1397;0.0617;0.7082;0.0015;0.0087;0.6093;-0.0529;0.1991;0.2235;0.0055;0.5921;0.1036;0.2699;1.1659;0.0086;0.3466;1.243;0.013;0.3784;1.2887;1.5147;0.0173;0.0202;;;;;;;12199355000.0;6.4243;0.0777;0.2293;;;;;;;;;
['ALLE'];['Allegion plc'];Ireland;Security & Protection Services;Industrials;2.04;1.46;3.536;14.646;0.0;0.0;919800000.0;0.1201;0.06;0.0;800800000.0;0.1196;0.0716;0.0;597500000.0;0.0779;0.0966;0.0;780700000.0;0.1391;0.0581;0.0;1668500000.0;0.1161;0.059;3772200000.0;0.0967;0.046;0.4423;0.0182;0.0449;0.2438;0.0237;0.0749;0.2123;0.0234;0.087;0.1584;-0.0137;0.1096;0.1331;-0.0403;0.1662;0.2401;-0.0669;0.0928;1.8036;-0.0125;0.0908;0.8036;-0.0192;0.1845;0.011;10.6256;15.9175;1495700000.0;1.6261;0.0777;0.4105;2.2445;0.0242;0.0924;64.9452;5.937;9.0279;45.6301;6.1489;9.3857
['LNT'];['Alliant Energy Corporation'];United States;Utilities - Regulated Electric;Utilities;2.03;3.31;6.601;15.44;0.0;0.0;1797000000.0;0.0533;0.0393;0.0;1025000000.0;0.0551;0.0973;0.0;690000000.0;0.008;0.019;0.0;886000000.0;0.041;0.0946;0.0;1780000000.0;0.0465;0.037;3981000000.0;0.0308;0.0825;0.4471;0.0187;0.0436;0.4514;0.0256;0.0508;0.2575;0.0248;0.0699;0.1733;-0.0163;0.0748;0.0304;-0.0572;0.0229;0.0561;-0.0385;0.0276;1.8455;0.0201;0.006;0.8455;0.0461;0.0139;0.1662;0.0598;0.1707;10325000000.0;5.7457;0.0417;0.0318;2.1828;-0.0248;0.0071;0.6848;-0.066;0.2503;0.5142;-0.0797;0.2229
['GOOGL'];['Alphabet Inc.'];United States;Internet Content & Information;Communication Services;0.8;0.5;5.192;13.763;0.0;0.0;135394000000.0;0.1183;0.2295;0.0;120083000000.0;0.1277;0.2537;0.0;100118000000.0;0.1253;0.2435;0.0;112390000000.0;0.1368;0.1563;0.0;203712000000.0;0.1164;0.042;350018000000.0;0.1078;0.0223;0.582;0.0076;0.0249;0.3868;0.0072;0.193;0.3431;0.0157;0.2169;0.286;0.014;0.2104;0.2224;0.0352;0.1874;0.2357;0.0256;0.1799;1.0599;-0.008;0.0075;;;;;;;1995000000.0;0.0147;-0.3056;0.4118;;;;;;;;;
['GOOG'];['Alphabet Inc.'];United States;Internet Content & Information;Communication Services;0.8;0.5;5.266;13.96;0.0;0.0;135394000000.0;0.1183;0.2295;0.0;120083000000.0;0.1277;0.2537;0.0;100118000000.0;0.1253;0.2435;0.0;112390000000.0;0.1368;0.1563;0.0;203712000000.0;0.1164;0.042;350018000000.0;0.1078;0.0223;0.582;0.0076;0.0249;0.3868;0.0072;0.193;0.3431;0.0157;0.2169;0.286;0.014;0.2104;0.2224;0.0352;0.1874;0.2357;0.0256;0.1799;1.0599;-0.008;0.0075;;;;;;;1995000000.0;0.0147;-0.3056;0.4118;;;;;;;;;
