ticker;country;industry;sector;EV/revenue;EV/ebitda;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;dividend_yield;dividend_rate;Grade
ADM;United States;Farm Products;Consumer Defensive;1.0;2.0;1.0;1.0;0.18946173063820124;2.0;2.0;0.16690695725062865;1.0;1.0;0.18700377222920783;2.0;2.0;0.19510952495050257;1.0;1.0;0.19438284317763682;2.0;2.0;0.19522494378291907;2.0;-2.0;0.17721518987341772;1.0;1.0;0.191585845955159;1.0;1.0;0.1913188430530559;1.0;1.0;0.1930648769574944;2.0;2.0;0.19949428033682964;1.0;1.0;35.08076880820505
NUE;United States;Steel;Basic Materials;1.0;2.0;1.0;1.0;-0.2;2.0;2.0;-0.15788767812238058;1.0;1.0;0.019112627986348135;2.0;2.0;0.14786435804633216;1.0;1.0;0.1311069006233353;2.0;2.0;0.1409506849177244;2.0;-2.0;0.17518987341772152;1.0;1.0;0.18869699234574203;1.0;1.0;0.18653303134233454;1.0;1.0;0.19333722400544695;2.0;2.0;0.1993923498019975;1.0;1.0;34.0242963643646
BLDR;United States;Building Products & Equipment;Industrials;1.0;2.0;1.0;1.0;0.17624347036111743;2.0;2.0;0.05492036881810561;1.0;1.0;0.15978085144602122;2.0;2.0;0.18318978019344997;1.0;1.0;0.18583518686327816;2.0;2.0;0.18990255705970835;2.0;-2.0;0.12563713080168776;1.0;1.0;0.18973979803889743;1.0;1.0;0.19074011113898523;1.0;1.0;0.17638362027040172;2.0;2.0;0.1983435468712488;;;32.8307164218629
MAS;United States;Building Products & Equipment;Industrials;1.0;0.0;1.0;1.0;0.15630252100840336;2.0;2.0;0.1191617770326907;1.0;1.0;0.17633375246991198;2.0;2.0;0.18235242190751227;1.0;1.0;0.1831595134140649;2.0;2.0;0.17865209801643;2.0;-2.0;0.1668185654008439;1.0;1.0;0.1445115349008122;1.0;1.0;0.13859399514396334;1.0;1.0;0.17160782025094837;2.0;2.0;0.1987820775966681;1.0;1.0;32.81627607714225
TXT;United States;Aerospace & Defense;Industrials;1.0;0.0;1.0;1.0;0.1423120599591188;2.0;2.0;0.10960603520536463;1.0;1.0;0.15388898868331238;2.0;2.0;0.1855606138945988;1.0;1.0;0.18698849438449078;2.0;2.0;0.1893310796194846;2.0;-2.0;0.1680675105485232;1.0;1.0;0.13085338465901897;1.0;1.0;0.13149379048461;1.0;1.0;0.18939791849041923;2.0;2.0;0.19917210118654027;1.0;1.0;32.78667197711548
IPG;United States;Advertising Agencies;Communication Services;1.0;2.0;1.0;1.0;0.146082216670452;2.0;2.0;0.08486169321039395;1.0;1.0;0.15097000179629963;2.0;2.0;0.18371943453094067;1.0;1.0;0.18608122580113684;2.0;2.0;0.1886449042423145;2.0;-2.0;0.14562025316455696;1.0;1.0;0.18902984821700922;;;;1.0;1.0;0.18520571928800703;2.0;2.0;0.19863295092995228;1.0;1.0;32.65884824785107
SNA;United States;Tools & Accessories;Industrials;0.0;0.0;1.0;1.0;0.19173290937996823;2.0;2.0;0.19520536462699078;1.0;1.0;0.19924555415843365;2.0;2.0;0.1993896364301298;1.0;1.0;0.1979240464618173;2.0;2.0;0.19863368597918335;2.0;-2.0;0.1701940928270042;1.0;1.0;0.18819628150402337;1.0;1.0;0.18853141206933197;1.0;1.0;0.19204357552767243;2.0;2.0;0.19933695989721734;1.0;1.0;32.12043351886177
URI;United States;Rental & Leasing Services;Industrials;0.0;0.0;1.0;1.0;0.17360890302066773;2.0;2.0;0.18702430846605198;1.0;1.0;0.19245554158433628;2.0;2.0;0.19536174130168862;1.0;1.0;0.19766043331411157;2.0;2.0;0.19874033493809834;2.0;-2.0;0.18386497890295359;1.0;1.0;0.19445989407834066;1.0;1.0;0.19449251119655542;1.0;1.0;0.19191712868398017;2.0;2.0;0.19989839721608374;1.0;1.0;32.109484172702864
TGT;United States;Discount Stores;Consumer Defensive;1.0;2.0;1.0;-1.0;0.14898932545991372;2.0;2.0;0.08606873428331935;1.0;1.0;0.1584336267289384;2.0;2.0;0.18729334022724695;1.0;1.0;0.18911717055221464;2.0;2.0;0.19024665087054732;2.0;-2.0;0.1729620253164557;1.0;1.0;0.19468732775243802;1.0;0.0;0.1961338854486888;1.0;1.0;0.18706351522225467;2.0;2.0;0.1969528997352592;1.0;1.0;31.907948501597275
BG;United States;Farm Products;Consumer Defensive;1.0;2.0;1.0;1.0;0.07472178060413356;2.0;2.0;0.09096395641240569;1.0;1.0;0.16946290641278966;2.0;2.0;0.19065033986153324;1.0;1.0;0.19078672048768433;2.0;2.0;0.19213614846339983;2.0;-2.0;0.15267510548523205;1.0;-1.0;0.19891741571129662;1.0;0.0;0.19906515279048326;1.0;1.0;0.1870343351814026;2.0;2.0;0.19945495022692655;1.0;1.0;31.845868811637285
STLD;United States;Steel;Basic Materials;1.0;2.0;1.0;1.0;-0.03347717465364522;2.0;2.0;0.003118189438390623;1.0;1.0;0.12002874079396444;2.0;2.0;0.17411503587777596;1.0;1.0;0.16391136007908397;2.0;2.0;0.17149454430207817;2.0;-2.0;0.1589535864978903;1.0;-1.0;0.19873457687525756;1.0;0.0;0.19847715261046503;1.0;1.0;0.18910611808189867;2.0;2.0;0.19801022418982023;1.0;1.0;31.54247235409298
MOS;United States;Agricultural Inputs;Basic Materials;1.0;2.0;1.0;1.0;-0.09298205768794005;2.0;2.0;0.032791282481139994;1.0;1.0;0.05205676306807977;2.0;2.0;0.1864030165075602;1.0;1.0;0.18153609577944368;2.0;2.0;0.18408717043207923;2.0;-2.0;0.15662447257383966;1.0;-1.0;0.19942508334775236;1.0;0.0;0.19933910134358665;1.0;1.0;0.18720941542651495;2.0;2.0;0.19637441936876815;1.0;1.0;31.482864762640826
SYY;United States;Food Distribution;Consumer Defensive;1.0;0.0;1.0;1.0;0.1941403588462412;2.0;2.0;0.1915842414082146;1.0;1.0;0.19555415843362675;2.0;2.0;0.19020896124695766;1.0;1.0;0.18583958041573992;2.0;2.0;0.1888702756271915;2.0;-2.0;0.18244725738396625;1.0;1.0;0.19262561919932647;1.0;1.0;0.19255580008528586;1.0;1.0;0.1893784651298512;0.0;2.0;0.19972436147976264;1.0;1.0;31.102929079256164
OMC;United States;Advertising Agencies;Communication Services;1.0;2.0;1.0;1.0;0.15675675675675677;2.0;2.0;0.16777870913663034;1.0;1.0;0.19025507454643437;2.0;2.0;0.19524572178014302;1.0;1.0;0.19553395392261858;2.0;2.0;0.1961867966576619;2.0;-2.0;0.18943459915611816;1.0;-1.0;0.19969372265221558;1.0;-1.0;0.199671511266513;1.0;1.0;0.19598288104270015;2.0;2.0;0.1986880130838166;1.0;1.0;31.085227740001606
FCX;United States;Copper;Basic Materials;1.0;2.0;1.0;1.0;-0.06749943220531451;2.0;2.0;0.08858340318524727;1.0;1.0;0.14786240344889529;2.0;2.0;0.15478769688638916;1.0;1.0;0.1413878133838592;2.0;2.0;0.14877227931966017;2.0;-2.0;0.16637974683544304;1.0;-1.0;0.19925276889349505;1.0;-1.0;0.19938811621157848;1.0;1.0;0.18929092500729502;2.0;2.0;0.19723705977930894;1.0;1.0;30.565442780745858
HUBB;United States;Electrical Equipment & Parts;Industrials;0.0;-2.0;1.0;1.0;0.1542584601408131;2.0;2.0;0.1551718357082984;1.0;1.0;0.1863571043650081;2.0;2.0;0.1971045562883842;1.0;1.0;0.1977021720624983;2.0;2.0;0.19771610248361282;2.0;-2.0;0.16232911392405064;1.0;1.0;0.18523161666990726;1.0;1.0;0.18568035087516047;1.0;1.0;0.1839704308919366;2.0;2.0;0.1991901274869125;1.0;1.0;30.004711870896582
